url,price,size,location,bedrooms,bathrooms,parking,scraped_at
https://www.property24.com/for-sale/wellington-central/wellington/western-cape/8648/115374831?plId=2015741&plt=2&plsIds=2015741,R 3 995 000,293 m²,Wellington Central,4,3.5,4,2025-05-14T14:19:00.492210
https://www.property24.com/for-sale/paarl-east/paarl/western-cape/16876/115891539?plId=2022591&plt=3&plsIds=2022591,R 1 350 000,161 m²,Paarl East,3,2,3,2025-05-14T14:19:00.574632
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115947501?plId=2021009&plt=3&plsIds=2021009,R 3 499 000,343 m²,Paarl North,3,2,3,2025-05-14T14:19:00.675641
https://www.property24.com/for-sale/honeydew-country-estate/paarl/western-cape/33199/115584401?plId=2021016&plt=3&plsIds=2021016,R 2 995 000,279 m²,Honeydew Country Estate,4,2.5,4,2025-05-14T14:19:00.847788
https://www.property24.com/for-sale/hoog-en-droog/paarl/western-cape/16385/115918121?plId=2020377&plt=3&plsIds=2020377,R 6 990 000,517 m²,Hoog En Droog,3,2,4,2025-05-14T14:19:00.996238
https://www.property24.com/for-sale/paarl-rural/paarl/western-cape/16578/115922820?plId=2020003&plt=3&plsIds=2020003,R 6 107 700,447 m²,Paarl Rural,3,2,2,2025-05-14T14:19:01.107133
https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/115823490?plId=2019741&plt=3&plsIds=2019741,R 950 000,60 m²,Paarl South,2,1,1,2025-05-14T14:19:01.210781
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/115517153?plId=2019740&plt=3&plsIds=2019740,R 620 000,31 m²,Klein Parys,1,1,1,2025-05-14T14:19:01.323932
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115503219?plId=2016354&plt=3&plsIds=2016354,R 3 499 000,301 m²,Paarl North,3,2,2,2025-05-14T14:19:01.425669
https://www.property24.com/for-sale/vrykyk/paarl/western-cape/8621/115703141?plId=2019684&plt=3&plsIds=2019684,R 4 480 000,780 m²,Vrykyk,5,3,1,2025-05-14T14:19:01.525219
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/115913379?plId=2019169&plt=3&plsIds=2019169,R 2 945 000,163 m²,Klein Parys,3,3.5,N/A,2025-05-14T14:19:01.608582
https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/115905594?plId=2019176&plt=3&plsIds=2019176,R 7 995 000,802 m²,Paarl Central,5,4,4,2025-05-14T14:19:01.691844
https://www.property24.com/for-sale/lemoenkloof/paarl/western-cape/8607/115726028?plId=2019038&plt=3&plsIds=2019038,R 4 295 000,195 m²,Lemoenkloof,3,2.5,4,2025-05-14T14:19:01.806173
https://www.property24.com/for-sale/paarl-central-west/paarl/western-cape/8613/115609972?plId=2018265&plt=3&plsIds=2018265,R 4 978 181,314 m²,Paarl Central West,4,4.5,3,2025-05-14T14:19:01.891894
